mC mH tb Zd Ze
1916.2776 525.09 1.5 0.292164 0.291335
1916.2776 625.09 1.5 0.376507 0.371029
1916.2776 725.09 1.5 0.413628 0.405474
1916.2776 825.09 1.5 0.404053 0.396215
1916.2776 925.09 1.5 0.367909 0.36193
2016.2776 1025.09 1.5 0.315773 0.311152
2016.2776 1125.09 1.5 0.321115 0.316128
2016.2776 1225.09 1.5 0.307859 0.303442
2016.2776 125.09 1.5 13.3894 9.8925
2016.2776 1325.09 1.5 0.302694 0.298436
2016.2776 1425.09 1.5 0.294145 0.290005
2016.2776 1525.09 1.5 0.281527 0.277776
2016.2776 1625.09 1.5 0.245275 0.242366
2016.2776 1725.09 1.5 0.169968 0.168649
2016.2776 1825.09 1.5 0.076883 0.0766016
2016.2776 1925.09 1.5 0.00174758 0.00174743
2016.2776 225.09 1.5 22.741 15.7723
2016.2776 325.09 1.5 25.7799 17.1676
2016.2776 425.09 1.5 0.693121 0.671111
2016.2776 525.09 1.5 0.416074 0.408292
2016.2776 625.09 1.5 0.371602 0.364909
2016.2776 725.09 1.5 0.329354 0.324385
2016.2776 825.09 1.5 0.325842 0.320859
2016.2776 925.09 1.5 0.309255 0.305137
2116.2776 1025.09 1.5 0.274264 0.270735
2116.2776 1125.09 1.5 0.168962 0.168526
2116.2776 1225.09 1.5 0.275153 0.271506
2116.2776 125.09 1.5 11.6226 8.73338
2116.2776 1325.09 1.5 0.263891 0.260612
2116.2776 1425.09 1.5 0.267347 0.263872
2116.2776 1525.09 1.5 0.256471 0.253274
2116.2776 1625.09 1.5 0.237086 0.234402
2116.2776 1725.09 1.5 0.207992 0.205893
2116.2776 1825.09 1.5 0.149048 0.147984
2116.2776 1925.09 1.5 0.0642587 0.064059
2116.2776 2025.09 1.5 0.00133268 0.0013326
2116.2776 225.09 1.5 20.579 14.27
2116.2776 325.09 1.5 22.6725 15.3795
2116.2776 425.09 1.5 0.576284 0.560779
2116.2776 525.09 1.5 0.363745 0.357316
2116.2776 625.09 1.5 0.303744 0.299405
2116.2776 725.09 1.5 0.282926 0.279152
2116.2776 825.09 1.5 0.278032 0.274332
2116.2776 925.09 1.5 0.277258 0.27358
216.2776 125.09 1.5 8.23908 11.9117
2216.2776 1025.09 1.5 0.233183 0.230577
2216.2776 1125.09 1.5 0.234348 0.231682
2216.2776 1225.09 1.5 0.233208 0.230611
2216.2776 125.09 1.5 10.3065 7.75092
2216.2776 1325.09 1.5 0.223708 0.221379
2216.2776 1425.09 1.5 0.231604 0.228984
2216.2776 1525.09 1.5 0.221132 0.218755
2216.2776 1625.09 1.5 0.218714 0.216395
2216.2776 1725.09 1.5 0.205609 0.203528
2216.2776 1825.09 1.5 0.167627 0.166306
2216.2776 1925.09 1.5 0.125274 0.124508
