mC mH tb Zd Ze
1816.2776 1025.09 1.5 0.00132232 0.00132233
1816.2776 925.09 1.5 0.00192911 0.00192911
1716.2776 1025.09 1.5 0.00259486 0.00259485
1816.2776 825.09 1.5 0.00217458 0.00217457
1816.2776 625.09 1.5 0.00239998 0.00239997
1816.2776 325.09 1.5 0.465134 0.46495
1716.2776 1425.09 1.5 0.00154838 0.00154838
1816.2776 225.09 1.5 0.642878 0.642451
1716.2776 725.09 1.5 0.0028737 0.00287369
1716.2776 825.09 1.5 0.00263 0.00262998
1816.2776 725.09 1.5 0.00231321 0.0023132
1716.2776 1525.09 1.5 0.000701323 0.000701307
1716.2776 1325.09 1.5 0.00159133 0.00159132
1716.2776 1125.09 1.5 0.00192706 0.00192705
1716.2776 1625.09 1.5 1.44904e-05 1.54147e-05
1716.2776 925.09 1.5 0.00264046 0.00264045
1816.2776 525.09 1.5 0.00320111 0.0032011
1816.2776 425.09 1.5 0.00574827 0.00574823
1816.2776 125.09 1.5 0.429038 0.428906
1816.2776 1125.09 1.5 0.00141971 0.00141971
1816.2776 1325.09 1.5 0.00136793 0.00136793
1816.2776 1225.09 1.5 0.00145232 0.00145233
1916.2776 1425.09 1.5 0.0012127 0.0012127
1916.2776 1225.09 1.5 0.00149746 0.00149746
1916.2776 1325.09 1.5 0.0012859 0.0012859
1916.2776 525.09 1.5 0.00258033 0.00258033
1916.2776 225.09 1.5 0.531192 0.53091
1916.2776 125.09 1.5 0.547078 0.546737
1816.2776 1725.09 1.5 1.15718e-05 1.09345e-05
1916.2776 725.09 1.5 0.00182683 0.00182683
1916.2776 825.09 1.5 0.00164078 0.00164078
1916.2776 925.09 1.5 0.00128035 0.00128035
1916.2776 1125.09 1.5 0.00157862 0.00157861
1916.2776 625.09 1.5 0.00204909 0.00204909
1916.2776 425.09 1.5 0.00368937 0.00368936
1916.2776 1025.09 1.5 0.00161803 0.00161803
1816.2776 1625.09 1.5 0.000530687 0.000530697
1816.2776 1425.09 1.5 0.00155937 0.00155937
1816.2776 1525.09 1.5 0.00106447 0.00106446
1916.2776 325.09 1.5 0.531613 0.531286
1916.2776 1725.09 1.5 0.000407156 0.000407165
1916.2776 1525.09 1.5 0.00123602 0.00123601
1916.2776 1625.09 1.5 0.000909166 0.000909164
2016.2776 1625.09 1.5 0.000978969 0.000978968
2016.2776 425.09 1.5 0.00378559 0.00378557
2016.2776 525.09 1.5 0.00207254 0.00207253
2016.2776 325.09 1.5 0.358708 0.358583
2016.2776 225.09 1.5 0.377885 0.377761
2016.2776 1525.09 1.5 0.00112308 0.00112308
2016.2776 825.09 1.5 0.00138212 0.00138212
2016.2776 1725.09 1.5 0.000733363 0.000733357
2016.2776 925.09 1.5 0.00134194 0.00134193
2016.2776 1125.09 1.5 0.00128464 0.00128463
2016.2776 1025.09 1.5 0.00130428 0.00130428
2016.2776 1325.09 1.5 0.0012307 0.0012307
1916.2776 1825.09 1.5 9.69819e-06 9.53477e-06
2016.2776 125.09 1.5 0.453878 0.453647
2016.2776 1225.09 1.5 0.00108504 0.00108504
2016.2776 725.09 1.5 0.00147996 0.00147996
2016.2776 625.09 1.5 0.00162627 0.00162627
2116.2776 125.09 1.5 0.320713 0.320617
2016.2776 1825.09 1.5 0.000320036 0.000320038
2016.2776 1925.09 1.5 7.72913e-06 1.1232e-05
