mC mH significance bdt_significance
2216.2776 525.09 1.43149 1.43149
2216.2776 2025.09 2.15488 2.15488
2216.2776 1825.09 1.88222 1.88222
2216.2776 925.09 1.70415 1.70415
2216.2776 625.09 1.61094 1.61094
2216.2776 1925.09 1.92673 1.92673
2116.2776 1525.09 2.07312 2.07312
2216.2776 1225.09 1.66937 1.66937
2216.2776 2125.09 1.8697 1.8697
2316.2776 125.09 0.373907 0.373907
2216.2776 225.09 0.854162 0.854162
2316.2776 525.09 1.235 1.235
2316.2776 325.09 0.951776 0.951776
2316.2776 625.09 1.37722 1.37722
2316.2776 925.09 1.50364 1.50364
2316.2776 425.09 1.18152 1.18152
2316.2776 225.09 0.688002 0.688002
2316.2776 1125.09 1.4927 1.4927
2316.2776 825.09 1.34926 1.34926
2316.2776 1425.09 1.53524 1.53524
2316.2776 1325.09 1.53159 1.53159
2316.2776 725.09 1.36506 1.36506
2316.2776 1925.09 1.55469 1.55469
2316.2776 1025.09 1.50485 1.50485
2416.2776 225.09 0.592274 0.592274
2416.2776 725.09 1.23086 1.23086
2416.2776 625.09 1.19424 1.19424
2416.2776 425.09 1.05102 1.05102
2416.2776 525.09 1.10163 1.10163
2416.2776 825.09 1.22547 1.22547
2416.2776 1225.09 1.29762 1.29762
2416.2776 1625.09 1.28578 1.28578
2416.2776 1125.09 1.21794 1.21794
2416.2776 1925.09 1.36116 1.36116
2416.2776 925.09 1.23624 1.23624
2416.2776 2025.09 1.41823 1.41823
2416.2776 1325.09 1.33316 1.33316
2416.2776 1425.09 1.35039 1.35039
2416.2776 1825.09 1.38593 1.38593
2416.2776 1525.09 1.29978 1.29978
2416.2776 1025.09 1.29439 1.29439
2416.2776 1725.09 1.35901 1.35901
2416.2776 2125.09 1.48392 1.48392
2516.2776 225.09 0.560099 0.560099
2416.2776 2225.09 1.5173 1.5173
2416.2776 2325.09 1.44623 1.44623
2516.2776 125.09 0.240319 0.240319
2516.2776 625.09 1.03105 1.03105
2516.2776 525.09 0.973875 0.973875
2516.2776 325.09 0.747122 0.747122
2516.2776 725.09 1.06303 1.06303
2716.2776 825.09 0.883876 0.883876
2716.2776 725.09 0.870555 0.870555
2716.2776 525.09 0.744399 0.744399
2916.2776 2525.09 0.79406 0.79406
2916.2776 2425.09 0.79785 0.79785
2916.2776 2025.09 0.728993 0.728993
3016.2776 325.09 0 0
2916.2776 2825.09 0.806694 0.806694
2916.2776 2325.09 0.773845 0.773845
2916.2776 1825.09 0.715728 0.715728
3016.2776 1025.09 0 0
3016.2776 825.09 0 0
3016.2776 225.09 0 0
3016.2776 1325.09 0 0
3016.2776 125.09 0 0
3016.2776 525.09 0 0
3016.2776 425.09 0 0
3016.2776 625.09 0 0
3016.2776 1125.09 0 0
3016.2776 1225.09 0 0
3016.2776 925.09 0 0
3016.2776 1425.09 0 0
3016.2776 1825.09 0 0
3016.2776 1525.09 0 0
3016.2776 1625.09 0 0
3016.2776 1925.09 0 0
3016.2776 1725.09 0 0
3016.2776 2025.09 0 0
3016.2776 2225.09 0 0
3016.2776 2125.09 0 0
3216.2776 1925.09 0 0
3216.2776 1825.09 0 0
3216.2776 1425.09 0 0
3316.2776 425.09 0 0
3216.2776 1325.09 0 0
3216.2776 1025.09 0 0
3216.2776 2225.09 0 0
3216.2776 2525.09 0 0
3216.2776 2125.09 0 0
3316.2776 325.09 0 0
3216.2776 2825.09 0 0
3216.2776 1625.09 0 0
3216.2776 2625.09 0 0
3216.2776 3125.09 0 0
3216.2776 2425.09 0 0
3216.2776 2725.09 0 0
3216.2776 2325.09 0 0
3316.2776 625.09 0 0
3316.2776 525.09 0 0
3316.2776 925.09 0 0
3316.2776 125.09 0 0
3316.2776 225.09 0 0
3216.2776 3025.09 0 0
3316.2776 725.09 0 0
3316.2776 1025.09 0 0
3316.2776 825.09 0 0
3216.2776 2925.09 0 0
3216.2776 925.09 0 0
3316.2776 1125.09 0 0
3316.2776 1225.09 0 0
3316.2776 1325.09 0 0
3316.2776 1525.09 0 0
3316.2776 1425.09 0 0
3316.2776 1725.09 0 0
3316.2776 1625.09 0 0
3316.2776 1825.09 0 0
3316.2776 1925.09 0 0
3316.2776 2025.09 0 0
3316.2776 2925.09 0 0
3416.2776 625.09 0 0
3316.2776 2125.09 0 0
3416.2776 1125.09 0 0
3416.2776 125.09 0 0
3416.2776 425.09 0 0
3416.2776 1725.09 0 0
3416.2776 1525.09 0 0
3416.2776 825.09 0 0
3416.2776 925.09 0 0
3416.2776 725.09 0 0
3416.2776 1025.09 0 0
3416.2776 1625.09 0 0
3316.2776 2825.09 0 0
3416.2776 2025.09 0 0
3416.2776 2125.09 0 0
3316.2776 2225.09 0 0
3416.2776 2525.09 0 0
3416.2776 1325.09 0 0
3416.2776 2425.09 0 0
3416.2776 1225.09 0 0
3416.2776 525.09 0 0
3416.2776 2325.09 0 0
3416.2776 1925.09 0 0
3416.2776 1425.09 0 0
3416.2776 2225.09 0 0
3416.2776 1825.09 0 0
3416.2776 2625.09 0 0
3416.2776 2825.09 0 0
3416.2776 2725.09 0 0
3416.2776 2925.09 0 0
3416.2776 3025.09 0 0
3416.2776 3125.09 0 0
3416.2776 3225.09 0 0
3516.2776 1325.09 0 0
3516.2776 425.09 0 0
3516.2776 2725.09 0 0
3516.2776 2525.09 0 0
3516.2776 1525.09 0 0
3516.2776 1825.09 0 0
3516.2776 2225.09 0 0
3516.2776 2925.09 0 0
3516.2776 1725.09 0 0
3516.2776 1425.09 0 0
3516.2776 2125.09 0 0
3516.2776 3325.09 0 0
3516.2776 2025.09 0 0
3516.2776 825.09 0 0
3516.2776 1925.09 0 0
3516.2776 525.09 0 0
3516.2776 2325.09 0 0
3516.2776 3025.09 0 0
3516.2776 725.09 0 0
3516.2776 2825.09 0 0
3516.2776 3425.09 0 0
3516.2776 3125.09 0 0
3616.2776 2025.09 0 0
3616.2776 1925.09 0 0
3616.2776 2325.09 0 0
3616.2776 1725.09 0 0
3616.2776 1525.09 0 0
3616.2776 1625.09 0 0
3616.2776 3125.09 0 0
3616.2776 2425.09 0 0
3616.2776 3225.09 0 0
3616.2776 2125.09 0 0
3616.2776 2225.09 0 0
3616.2776 2625.09 0 0
3616.2776 825.09 0 0
3616.2776 3025.09 0 0
3616.2776 2825.09 0 0
