mC mH tb Zd Ze
650 470 1.5 0.00956296 0.00956815
650 480 1.5 0.0116833 0.011691
650 490 1.5 0.00467879 0.00468003
650 500 1.5 0.0050616 0.00506305
650 510 1.5 0.00398668 0.00398759
650 520 1.5 0.002978 0.0029785
650 530 1.5 0.0017137 0.00171387
650 540 1.5 0.00147556 0.00147568
650 550 1.5 0.000740948 0.000740979
700 500 1.5 0.0107462 0.0107528
700 510 1.5 0.0111535 0.0111606
700 520 1.5 0.00877075 0.00877512
700 530 1.5 0.00987227 0.00987781
700 540 1.5 0.00832866 0.0083326
700 550 1.5 0.0080851 0.00808881
700 560 1.5 0.00539656 0.00539821
700 570 1.5 0.00190267 0.00190287
700 580 1.5 0.00130201 0.0013021
700 590 1.5 0.000904949 0.000904996
700 600 1.5 0.000952672 0.000952724
750 550 1.5 0.0115219 0.0115295
750 560 1.5 0.0118535 0.0118615
750 570 1.5 0.0103811 0.0103872
750 580 1.5 0.00967178 0.00967709
750 590 1.5 0.00807796 0.00808167
750 600 1.5 0.00546728 0.00546898
750 610 1.5 0.00484983 0.00485117
750 620 1.5 0.00351753 0.00351823
750 630 1.5 0.00289971 0.00290019
750 640 1.5 0.00143963 0.00143974
750 650 1.5 0.000868486 0.000868528
800 600 1.5 0.00840237 0.00840664
800 610 1.5 0.00766601 0.00766934
800 620 1.5 0.00936524 0.00937022
800 630 1.5 0.00966304 0.00966835
800 640 1.5 0.00656699 0.00656944
800 650 1.5 0.00555039 0.00555214
800 660 1.5 0.00489618 0.00489754
800 670 1.5 0.00237583 0.00237615
800 680 1.5 0.0017223 0.00172247
800 690 1.5 0.00113676 0.00113684
800 700 1.5 0.000663624 0.000663649
850 650 1.5 0.00842849 0.00843252
850 660 1.5 0.00847692 0.008481
850 670 1.5 0.00965937 0.00966467
850 680 1.5 0.00587932 0.00588129
850 690 1.5 0.0053703 0.00537194
850 700 1.5 0.00474387 0.00474514
850 710 1.5 0.00310725 0.0031078
850 720 1.5 0.00245879 0.00245915
850 730 1.5 0.00112915 0.00112923
850 750 1.5 0.000648732 0.000648756
900 700 1.5 0.00923762 0.00924247
900 710 1.5 0.00701971 0.00702251
900 720 1.5 0.0064456 0.00644796
900 730 1.5 0.00625006 0.00625228
900 740 1.5 0.00465167 0.0046529
900 750 1.5 0.00393826 0.00393914
900 760 1.5 0.00304375 0.00304427
900 770 1.5 0.00271559 0.00271601
900 780 1.5 0.00176755 0.00176772
900 790 1.5 0.000792387 0.000792425
900 800 1.5 0.00040159 0.000401601
950 750 1.5 0.00647022 0.0064726
950 770 1.5 0.00421251 0.00421358
950 780 1.5 0.00556973 0.00557149
950 790 1.5 0.0041285 0.00412947
950 800 1.5 0.00367332 0.00367408
950 810 1.5 0.00300275 0.00300327
950 820 1.5 0.00170771 0.00170788
950 830 1.5 0.00148335 0.00148348
950 840 1.5 0.000750185 0.000750218
950 850 1.5 0.000551936 0.000551953
